tmdb_id,title,content_type,overview,tmdb_genres,runtime,platform,release_date,poster_url,source
496243,기생충,MOVIE,"전원 백수로 살 길 막막하지만 사이는 좋은 기택 가족. 장남 기우에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박 사장 집으로 향하는 기우. 글로벌 IT기업의 CEO인 박 사장의 저택에 도착하자 젊고 아름다운 사모님 연교와 가정부 문광이 기우를 맞이한다. 큰 문제 없이 박 사장의 딸 다혜의 과외를 시작한 기우. 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고  있는데.....","[{""id"": 35, ""name"": ""코미디""}, {""id"": 53, ""name"": ""스릴러""}, {""id"": 18, ""name"": ""드라마""}]",131,"Netflix, Watcha, Netflix Standard with Ads, TVING, wavve, Google Play Movies",2019-05-30,https://image.tmdb.org/t/p/w500/jjHccoFjbqlfr4VGLVLT7yek0Xn.jpg,TMDB
290098,아가씨,MOVIE,"어릴 적 부모를 잃고 후견인 이모부의 보호 아래 살아가는 귀족 아가씨에게 백작이 추천한 새로운 하녀가 찾아온다. 이모부의 서재에서 책을 읽는 것이 일상의 전부인 아가씨는  순박해 보이는 하녀에게 조금씩 의지하기 시작한다. 하지만 하녀의 정체는 유명한 여도둑의 딸인 소매치기 고아 소녀 숙희. 막대한 재산을 상속받게 될 아가씨를 유혹하여 돈을 가로채겠다는 사기꾼 백작의 제안을 받고  아가씨가 백작을 사랑하게 만들기 위해 하녀가 된 것. 드디어 백작이 등장하고, 백작과 숙희는 자신만의 방식으로 아가씨의 마음을 흔들기 시작하는데...","[{""id"": 53, ""name"": ""스릴러""}, {""id"": 18, ""name"": ""드라마""}, {""id"": 10749, ""name"": ""로맨스""}]",144,"Netflix, FilmBox+, Netflix Standard with Ads, TVING, wavve",2016-06-01,https://image.tmdb.org/t/p/w500/pDogzUCSBy0m4ybLKUv3OtGMRNm.jpg,TMDB
1268127,휴민트,MOVIE,"러시아에서 마약 조직을 추적하던 남한 요원. 북한 요원과 정면충돌하면서, 두 사람은 거대한 위험과 거미줄처럼 얽힌 음모에 휘말린다.","[{""id"": 53, ""name"": ""스릴러""}, {""id"": 28, ""name"": ""액션""}, {""id"": 18, ""name"": ""드라마""}]",120,"Netflix, Netflix Standard with Ads",2026-02-11,https://image.tmdb.org/t/p/w500/f7sCSLEPRfV2fWQ0RYOtHhnHXuG.jpg,TMDB
255709,소원,MOVIE,"어느 비 오는 아침, 학교를 가던 9살 소녀 소원은 술에 취한 아저씨에게 끌려가 믿고 싶지 않은 사고를 당한다. 이 일로 몸과 마음에 지울 수 없는 상처를 받은 소원이네 가족. 하지만 절망 끝에서 희망을 찾아 나서는데...","[{""id"": 18, ""name"": ""드라마""}]",123,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING, Google Play Movies",2013-10-02,https://image.tmdb.org/t/p/w500/PZlNvDwKwHeHUsXnd6SEDXWZNn.jpg,TMDB
851644,20세기 소녀,MOVIE,"보라의 둘도 없는 친구 연두는 심장 수술을 위해 미국에 가면서 자신이 좋아하는 남자 백현진에 대한 모든 정보를 수집해 달라고 보라에게 부탁한다. 보라는 백현진의 가장 친한 친구 풍운호와 먼저 친해지기로 한다. 하지만 보라의 서투른 계획은 예상치 못한 방향으로 전개된다. 새로운 세기가 오기 1년 전인 1999년, 17세가 된 보라는 첫사랑의 열병에 빠진다.","[{""id"": 10749, ""name"": ""로맨스""}, {""id"": 18, ""name"": ""드라마""}]",119,"Netflix, Netflix Standard with Ads",2022-10-06,https://image.tmdb.org/t/p/w500/rSNtRQpCsDckczokmynAcVAt4Fm.jpg,TMDB
110415,설국열차,MOVIE,"기상 이변으로 모든 것이 꽁꽁 얼어붙은 지구, 살아남은 사람들을 태운 기차 한 대가 끝없이 궤도를 달리고 있다. 춥고 배고픈 사람들이 바글대는 빈민굴 같은 꼬리칸, 그리고 선택된 사람들이 술과 마약까지 즐기며 호화로운 객실을 뒹굴고 있는 앞쪽칸. 열차 안의 세상은 결코 평등하지 않다. 기차가 달리기 시작한 17년째, 꼬리칸의 젊은 지도자 커티스는 긴 세월 준비해 온 폭동을 일으킨다. 기차의 심장인 엔진을 장악하고 기차 전체를 해방시키기 위해 절대권력자 윌포드가 도사리고 있는 엔진 칸을 향해 질주하는 커티스와 꼬리칸 사람들. 그들 앞에 예기치 못한 상황들이 기다리고 있는데...","[{""id"": 28, ""name"": ""액션""}, {""id"": 878, ""name"": ""SF""}, {""id"": 18, ""name"": ""드라마""}]",127,"Netflix, Watcha, Netflix Standard with Ads, TVING, wavve",2013-08-01,https://image.tmdb.org/t/p/w500/jw66dQvYyXkZNA0bJ7nKvua9jDr.jpg,TMDB
982843,대홍수,MOVIE,대홍수가 덮친 지구 종말의 날. 물에 잠겨가는 아파트에 갇힌 연구원과 어린 아들이 탈출을 시도한다. 그 순간 도착한 중대 임무. 그녀는 인류의 운명이 걸린 과제를 끝까지 완수할 수 있을까.,"[{""id"": 878, ""name"": ""SF""}, {""id"": 12, ""name"": ""모험""}, {""id"": 18, ""name"": ""드라마""}]",107,"Netflix, Netflix Standard with Ads",2025-09-18,https://image.tmdb.org/t/p/w500/8SQWFPE6UhNGIMDimAOOg4T5Hem.jpg,TMDB
639988,어쩔수가없다,MOVIE,"다 이루었다는 생각이 들 만큼 삶에 만족하던 25년 경력의 제지 전문가 만수. 아내 미리, 두 아이, 반려견들과 함께 행복한 일상을 보내던 만수는 회사로부터 돌연 해고 통보를 받는다. 목이 잘려 나가는 듯한 충격에 괴로워하던 만수는, 가족을 위해 석 달 안에 반드시 재취업하겠다고 다짐한다. 그 다짐이 무색하게도, 그는 1년 넘게 마트에서 일하며 면접장을 전전하고, 급기야 어렵게 장만한 집마저 빼앗길 위기에 처한다. 무작정 문 제지를 찾아가 필사적으로 이력서를 내밀지만, 선출 반장 앞에서 굴욕만 당한다. 문 제지의 자리는 누구보다 자신이 제격이라고 확신한 만수는 모종의 결심을 한다.","[{""id"": 35, ""name"": ""코미디""}, {""id"": 80, ""name"": ""범죄""}, {""id"": 53, ""name"": ""스릴러""}]",139,"Netflix, Netflix Standard with Ads, TVING",2025-09-24,https://image.tmdb.org/t/p/w500/9w7WGjQes0Cs0s4U3Qr09Tg1Sra.jpg,TMDB
955555,범죄도시 3,MOVIE,"베트남 납치 살해범 검거 후 7년 뒤, 마석도는 새로운 팀원들과 함께 살인사건을 조사한다. 사건 조사 중 마석도는 신종 마약 사건이 연루되었음을 알게 되고 수사를 확대한다. 한편 마약 사건의 배후인 주성철은 계속해서 판을 키워가고, 약을 유통하던 일본 조직과 리키까지 한국에 들어오며 사건의 규모는 점점 더 커져가는데...","[{""id"": 28, ""name"": ""액션""}, {""id"": 80, ""name"": ""범죄""}, {""id"": 35, ""name"": ""코미디""}, {""id"": 53, ""name"": ""스릴러""}]",105,"Disney Plus, wavve, Google Play Movies",2023-05-31,https://image.tmdb.org/t/p/w500/kPtNokhBtgwSp3MHaR3X4O0SPbF.jpg,TMDB
1451344,남편들,MOVIE,"전남편 X 현 남편, 납치된 아내를 구하라! 성격도 직업도 너무 다른 두 남편이 아내를 구하겠다는 일념 하나로 얼떨결에 손을 잡는다. 두 남자의 예측 불가 공조 케미가 돋보이는 코믹 액션 영화.","[{""id"": 35, ""name"": ""코미디""}, {""id"": 28, ""name"": ""액션""}]",110,"Netflix, Netflix Standard with Ads",2026-06-15,https://image.tmdb.org/t/p/w500/A01Ca3GfoUZ192ebgHHj6MYOG35.jpg,TMDB
